,DOI,date-time,timestamp
0,10.1016/j.jamcollsurg.2020.04.030,2020-04-30T17:14:42Z,1588266882000
1,10.1089/tmj.2020.0091,2020-05-01T20:42:03Z,1588365723000
2,10.1016/j.hlpt.2020.04.011,2020-04-30T08:13:13Z,1588234393000
3,10.1007/s10389-020-01295-y,2020-04-30T04:09:52Z,1588219792000
4,10.1002/oby.22860,2020-04-30T19:08:14Z,1588273694000
5,10.2196/preprints.18808,2020-03-20T13:55:40Z,1584712540000
6,10.1093/jamia/ocaa081,2020-04-27T19:35:06Z,1588016106000
7,10.1016/j.amsu.2020.04.023,2020-04-28T06:47:39Z,1588056459000
8,10.3399/bjgpopen20x101072,2020-04-29T04:46:31Z,1588135591000
9,10.1093/ptj/pzaa079,2020-04-23T19:09:35Z,1587668975000
10,10.1093/jamia/ocaa078,2020-04-24T19:09:43Z,1587755383000
11,10.1101/2020.03.29.20043547,2020-03-31T21:08:00Z,1585688880000
12,10.3390/s20092479,2020-04-28T14:30:58Z,1588084258000
13,10.2196/preprints.19297,2020-04-13T12:47:02Z,1586782022000
14,10.2196/19106,2020-04-27T18:27:58Z,1588012078000
15,10.1002/oby.22851,2020-04-27T20:23:41Z,1588019021000
16,10.1002/eat.23279,2020-04-27T09:30:09Z,1587979809000
17,10.2196/preprints.19547,2020-04-27T18:26:20Z,1588011980000
18,10.2196/preprints.19139,2020-04-05T19:19:41Z,1586114381000
19,10.3390/ijerph17092997,2020-04-28T09:05:32Z,1588064732000
20,10.1016/j.dib.2020.105618,2020-04-25T01:21:26Z,1587777686000
21,10.1016/j.hlpt.2020.04.010,2020-04-25T06:40:03Z,1587796803000
22,10.1093/jamia/ocaa073,2020-04-22T11:11:35Z,1587553895000
23,10.1016/j.dsx.2020.04.032,2020-04-24T06:42:16Z,1587710536000
24,10.2106/jbjs.20.00609,2020-04-25T06:10:56Z,1587795056000
25,10.1101/2020.02.03.932350,2020-02-05T03:35:10Z,1580873710000
26,10.1007/978-4-431-68051-2_1,2011-12-05T05:35:04Z,1323063304000
27,10.2196/preprints.19103,2020-04-03T16:56:09Z,1585932969000
28,10.1016/j.scitotenv.2020.138858,2020-04-23T21:28:28Z,1587677308000
29,10.1089/omi.2020.0053,2020-04-23T20:20:58Z,1587673258000
30,10.1001/jama.2020.6602,2020-04-23T15:31:02Z,1587655862000
31,10.1016/j.jpainsymman.2020.04.017,2020-04-22T15:45:38Z,1587570338000
32,10.1016/j.jaccao.2020.04.003,2020-04-22T20:04:41Z,1587585881000
33,10.1016/j.hlpt.2020.04.005,2020-04-22T16:02:21Z,1587571341000
34,10.1016/j.seppur.2020.116886,2020-04-22T15:56:49Z,1587571009000
35,10.1089/omi.2020.0049,2020-04-22T15:43:34Z,1587570214000
36,10.1016/j.amjmed.2020.04.002,2020-04-21T06:12:00Z,1587449520000
37,10.1016/j.giq.2020.101481,2020-04-20T07:55:21Z,1587369321000
38,10.1089/omi.2020.0047,2020-04-20T21:43:08Z,1587418988000
39,10.1093/jamia/ocaa064,2020-04-15T11:09:31Z,1586948971000
40,10.1093/jamia/ocaa067,2020-04-17T19:11:19Z,1587150679000
41,10.3346/jkms.2020.35.e154,2020-04-15T23:53:30Z,1586994810000
42,10.1016/j.arth.2020.04.038,2020-04-18T14:31:47Z,1587220307000
43,10.1016/j.clae.2020.04.002,2020-04-18T10:45:27Z,1587206727000
44,10.1016/j.ajem.2020.04.025,2020-04-18T02:09:17Z,1587175757000
45,10.1007/s10461-020-02870-w,2020-04-18T17:02:15Z,1587229335000
46,10.1111/ced.14245,2020-04-18T17:49:25Z,1587232165000
47,10.1111/ced.14247,2020-04-18T18:48:01Z,1587235681000
48,10.1007/s10072-020-04391-9,2020-04-17T04:17:35Z,1587097055000
49,10.1016/j.telpol.2020.101976,2020-04-17T20:17:25Z,1587154645000
